0,[(u'climate change', 0.013620810784050183), (u'department of energy', 0.0089856604990777439), (u'low carbon', 0.0045278631491702803), (u"mae'n rhaid", 0.0029457388830913533), (u'rhaid i', 0.0028640639216859953), (u'energy efficiency', 0.0027639986075389381), (u"mae'n rhaid i", 0.0027007139988558947), (u'renewable energy', 0.0023595221933998298)]
1,[(u'local access', 0.0041223831246822249), (u'uk vessels', 0.0033349784901242265), (u'natural england natural england', 0.0019875182822979647), (u'england natural england', 0.0017708304739127287), (u'rural payments', 0.0016975566628085598), (u'detailed guide', 0.0016587962509768042), (u'guidance note', 0.0014769735884566202), (u'natural england', 0.001466992478488266)]
2,[(u'environment agency', 0.011708939727199533), (u'national organisations', 0.0023542639559057605), (u'victim surcharge', 0.0019221424784460867), (u'river basin', 0.0018024757358024281), (u'cross compliance', 0.0013020423884200203), (u'up-to-date evidence', 0.0012222521720453997), (u'agency officers', 0.00118829244115638), (u'environment agency officers', 0.0011359556516220783)]
3,[(u'environment agency', 0.0017351155552510302), (u'cig eidion', 0.001365587596777132), (u'payments agency', 0.001190959957453826), (u'rural payments agency', 0.0011909533486886695), (u'rural payments', 0.0011358410324766414), (u'carcase classification', 0.00075420837504979171), (u'dosbarthu carcasau', 0.00071344992129386661), (u'pig carcase', 0.00070220572268845619)]
4,[(u'organisation for ism', 0.0031261131973373195), (u'classification society', 0.0027240893124188628), (u'mmo rtc', 0.0025500294421239422), (u'place of detention', 0.0020144706530297032), (u'vessel name', 0.0019484324817462945), (u'ground for detention', 0.0019264197584323878), (u'nature of defect ground', 0.00164025435098595), (u'defective item nature of defect ground for detention', 0.00164025435098595)]
5,[(u'flood risk', 0.0045527423427212986), (u'marine management organisation', 0.0033061862910073463), (u'offshore wind', 0.0029429059682963745), (u'management organisation', 0.0027479578478936213), (u'marine management', 0.00264384768462016), (u'agency annual report', 0.0022672662543152702), (u'wind farm', 0.0018999731154122157), (u'ancient woodland', 0.0018247990636678956)]
6,[(u'coastguard agency', 0.01697145686812488), (u'nature reserves', 0.0059171616661816478), (u'natural environment', 0.0044669760464726991), (u'national nature reserves', 0.0041127708965727179), (u'national nature', 0.0036615889454398452), (u'risk management', 0.0034976040010076016), (u'plan areas', 0.0031582831533379496), (u'marine plan areas', 0.0027660237598443665)]
7,[(u'energy efficiency', 0.0058882394370516926), (u'green deal', 0.0042946676242593181), (u'consultation summary document', 0.004053207414850258), (u'eu ets', 0.0028701826587733043), (u'radioactive waste', 0.00282624478269202), (u'climate change', 0.0026932601659545204), (u'energy bill', 0.0026739561021045292), (u'department of energy', 0.0020102890584076049)]
8,[(u'natural england', 0.0088760034703892262), (u'climate change', 0.0070984394069926156), (u'summary document', 0.0041462994222911829), (u'department of energy', 0.0039037169958377927), (u'closed organisation', 0.0034888615436491693), (u'marine licence', 0.0028977558351979357), (u'marine management organisation', 0.002682598993004662), (u'nuclear power', 0.0024049669494047559)]
9,[(u'environment agency', 0.034702496481146455), (u'industrial emissions', 0.013286574203783489), (u'installation name', 0.0065506599551698541), (u'decision document', 0.006460461220011292), (u'environmental permit', 0.0062501620562657378), (u'limited installation', 0.0038321738567870882), (u'limited installation name', 0.0038321738567870882), (u'rod licence', 0.0022604937808994585)]
