10,[(u'environment agency', 0.016966045230593571), (u'flood risk', 0.0067651413061141424), (u'contact information', 0.0028060895719007285), (u'management plans', 0.0024878431153297588), (u'river thames', 0.0024292957929519824), (u'flood management', 0.001708862368483958), (u'countryside stewardship', 0.0016957049487474473), (u'flood defence', 0.0014402890182313739)]
11,[(u'natural england', 0.022430775137931194), (u'conservation advice', 0.010919697832523747), (u'green deal', 0.0080057973268626466), (u'marine conservation advice', 0.0044431117147926413), (u'more information', 0.0042755410064019093), (u'site advice', 0.0034457655338172195), (u'climate change', 0.0034152666832751063), (u'department of energy', 0.0029646961660433186)]
12,[(u'marine conservation', 0.0053583402908525509), (u'merchant shipping', 0.0049223871682251329), (u'advice packages', 0.0042021738232824873), (u'marine plan', 0.0040313284824078262), (u'marine plans', 0.0023913595511259943), (u'management organisation', 0.0022936424394038517), (u'mca website', 0.0022630984702956885), (u'power station', 0.0019771430794818206)]
13,[(u'stretch of coast', 0.0064479022663060954), (u'shale gas', 0.0032261291800551465), (u'rural payments', 0.0026808526298503859), (u'rural payments agency', 0.0024588825078572878), (u'payments agency', 0.0024588550310333172), (u'fresh produce', 0.0023604233244152286), (u'horticultural marketing', 0.002271568045723951), (u'marketing standards', 0.0021284477728597041)]
14,[(u'fishing vessels', 0.0059200166623574182), (u'marine management organisation', 0.0050926015374839441), (u'management organisation', 0.0050372606607422613), (u'marine management', 0.0044739147621348238), (u'fishing vessel', 0.0025554337281589491), (u'energy company', 0.0019565953586043682), (u'north sea', 0.0018365911701462853), (u'demersal trawls', 0.0013552890074171814)]
15,[(u'rural payments', 0.013827853375229491), (u'natural england', 0.011477566760560786), (u'rural payments agency', 0.010844564692666821), (u'payments agency', 0.010844544245421832), (u'environment agency', 0.0061553638308297319), (u'coast path', 0.005998203189652572), (u'england coast', 0.0051890536475242815), (u'england coast path', 0.005059334834248347)]
16,[(u'natural england', 0.013359534140822677), (u'coastal access', 0.012609816730326311), (u'[ inlineattachment', 0.010634231303244229), (u'] [ inlineattachment', 0.0065354744360038748), (u'coastguard agency', 0.0046859456194934404), (u'more information', 0.0025199129454556383), (u'request for information', 0.0021079106148431726), (u'department of energy', 0.0020842281865229998)]
17,[(u'climate change', 0.0091509003876563948), (u'natural england', 0.0055360100800718884), (u'rights of way', 0.0031219028566457935), (u'natural environment', 0.0031184925577220895), (u'rural affairs', 0.002794525864132221), (u'energy security', 0.002686162728992992), (u'department for environment', 0.0025236182915854854), (u'annual report', 0.0023418892519899183)]
18,[(u'environment agency', 0.029043669032524894), (u'environmental permit', 0.0068931143424116065), (u'operator name', 0.0068513800900031722), (u'waste operations', 0.0045520907096470581), (u'public register', 0.003091183879778), (u'risk assessment', 0.0027506885422520183), (u'permit application', 0.0026660066874254437), (u'public participation', 0.002615266488226116)]
19,[(u'natural england', 0.011674647983139452), (u'access land', 0.0081591774201069129), (u'open access', 0.0065274894136327869), (u'public access', 0.0035903259766723299), (u'arable crop', 0.0033654288073483693), (u'open access land', 0.0033213503519319053), (u'national nature', 0.0029361157446751275), (u'contact details', 0.0028953056322958432)]
